round,track,competition,date,laptime,driver,Sector_1,Sector_2,Sector_3
20,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:12.604,joyce,00:17.219,00:31.327,00:24.058
21,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:22.712,joyce,00:24.735,00:33.656,00:24.32
1,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:12.625,rik,00:16.531,00:32.197,00:23.897
2,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:16.297,rik,00:17.713,00:30.939,00:27.645
3,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:18.263,rik,00:17.125,00:37.008,00:24.13
4,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:18.848,rik,00:16.007,00:39.573,00:23.268
5,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:13.154,rik,00:17.058,00:31.842,00:24.254
6,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:19.853,rik,00:24.574,00:31.103,00:24.176
7,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:39.977,rik,00:16.078,00:44.116,00:39.783
8,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:10.406,rik,00:16.736,00:30.333,00:23.337
9,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:15.935,rik,00:16.945,00:35.135,00:23.855
10,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:27.471,rik,00:16.488,00:34.488,00:36.495
11,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:20.235,rik,00:25.864,00:30.425,00:23.945
12,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:28.50,rik,00:16.139,00:49.102,00:23.259
13,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:11.928,rik,00:16.682,00:31.59,00:23.656
14,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:13.721,rik,00:17.304,00:32.293,00:24.124
15,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:23.42,rik,00:16.429,00:42.10,00:24.89
16,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:11.657,rik,00:16.678,00:30.589,00:24.39
17,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:20.706,rik,00:26.709,00:30.603,00:23.394
18,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:11.705,rik,00:16.16,00:31.865,00:23.679
19,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:24.535,rik,00:26.812,00:32.043,00:25.68
20,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:21.277,rik,00:23.178,00:32.20,00:25.90
21,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:34.234,rik,00:28.451,00:36.178,00:29.605
